participant_id,survey_text
1756,"Smallhouse Rd (at Campbell Ln) heading into town needs to be widened to have room for three lanes (left turn, straight, right turn)."
1480,Doctors should not overreact to the opioid crisis. People in pain shouldn't suffer because others lack self control and abuse the system.
1751,More free meeting space for nonprofits.
1751,After school activity centers for youth with later hours of operation.
1751,More affordable home ownership options.
1748,Better visibility on roads. Reflectors and better signage
1745,The main problem facing is the workforce development. There is over 6500 jobs open in Warren County. This is a big issue.
1510,Create shoulders on the bypass.
1685,"Install a ""train"" sign visible from the Nashville, Industrial & Russellville road entrances to reroute traffic when a trains are crossing."
1652,Older neighborhoods change from owner occupied to rental.  Deterioration occurs.  Stronger landlord/tenant laws needed!
0,Cable TV providers should include all local channels.
1649,We need faster internet service.
1649,Emphasize that ALL immigrants should learn and speak ENGLLISH.
1649,Provide accessible transportation for seniors that have difficulty driving
1649,Insist that schools at all levels have daily physical activity  for all students to help combat the childhood obesity crisis.
1649,Provide regular and affordable daily transport to Nashville Airport from Bowling Green.
1649,Raise drivers license from 16 to 18 and IMPROVE DRIVERS ED CLASSES in High schools  Believe me they are pitiful.
1654,A round about would be the best solution to improve traffic flow on Fairview Ave at Keriakes Park.
1646,"SNAP grants for neighborhood improvements should be available in Warren County, not just in the city."
0,Both school districts shamefully manipulate low economic status parents to gain Title I funding. It should stop.
1640,Hawaii outlaws billboards tokeep the landscape from being blocked I would love to see Bowling Green billboard free
1638,New buildings should not be built right up to the sidewalk to inhibit seeing around corners when driving.
1631,Street lights should be required on residential streets in town. Too many dark corners.
1631,A private (catholic) high school would be beneficial to all.
853,"BG's Kummer Little gym is open limited hours for indoor track. On other hand, County has new gyms that are open lots of hrs. Inequitable."
1611,We must ensure historic preservation codes are properly enforced in our historic districts; lack of consistency erodes our unique aesthetic.
0,More parking for Fountain Square to become a pedestrian zone.
1608,"Build parking garage behind Spencer’s, remove some parking from Ft. Square. Add a green space on top of garage! Soccer field or rooftop food"
1009,Solving the drug crisis should not mean people with health problems/injuries have to suffer with severe pain.
1608,Support more local chefs and brewers! White Squirrel is fantastic and I want to see more of it in BG!
1222,"Kentucky and Adams streets should be two-way roads. Adams St. should be zoned commercial, and Kentucky St. should be zoned residential."
1607,Need term limits for all local elected officiałs
1534,"Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels."
1592,There are not enough family-centered activities to do down town.
1575,"The Public Library ""Internet Café"" has become a hangout for the homeless, and this has become an issue the community has chosen to ignore."
1560,Police should not focus on Public Intoxication charges for people walking home. We should encourage people to walk -- not drive drunk.
188,Parents should be able to send their kids to the school district of their choice no matter where they live in Bowling Green/Warren County.
1560,"BGPD needs to work toward community policing, where cops patrol the neighborhoods they live in. Stop incentivizing cops to live in suburbs"
1560,Fines and other enforcement actions should be taken against landlords who don't keep up with their properties.
1560,Low-income areas should get beautification money -- not the wealthy who can afford it themselves.
1560,"Locally owned, small businesses should get incentives and assistance -- not chains and outside investors."
1560,City officials need to spread resources across city and not just focus on wealthy neighborhoods. Low-income areas of city are ignored.
1560,Businesses and multi-family dwellings should be required to offer and use recycling services.
1560,"Recycling services need to be improved and modernized. Current contractor uses outdated equipment, services are messy, company unresponsive."
833,City and County should convert existing street lighting to Dark Sky Complaint Lights. #Nomoreorangeglow
0,"Judge/prosecutors should not let influential family of victim push extraordinarily harsh sentences & create more victims, ruined young lives"
0,Better/more mass media choices available.
1530,More walking/nature trails in our sports-centric parks. Have certain hours where walkers can enjoy the beauty of Paul Walker Golf Course.
1543,"Scottsville Rd should be 4+ lanes between I-65 & Lovers Lane, get rid of the service Rd."
1491,"Access Rd, east side of Scottsville Rd. in shopping dist causes congestion. Give right of way to access road or cross streets, not a mix!"
1542,Traffic flow on Cavemill Rd during peek hours (3pm - 5pm)
771,Other counties have school at home on snow days so that kids do not have to make up days.  This should be considered for here.
771,Community Education provides after-school care necessary to working parents.  Funding should not be cut.
1542,The traffic intersection at Scottsville Rd and Pascoe Blvd needs some immediate attention as far as congestion.  It's very unsafe.
1537,We need a significantly sized public library branch in the southern end of Warren County near South Warren.
1496,Many people want something for nothing and if they don't get it they steal it instead of working for it.  We are producing a gimme society.
36,The city and county work together to keep the low socieconomic status children out of certain schools. This reduces learning opportunities.
1516,Pass a No animals on chains in the county.
1516,Pass a no animals in a hot car ordinance.
1516,Allow parents that take their kids out of public schools to use that money in a private school.
1516,Pass an ordinance that requires pet owners to pay a fee if their pets are not fixed.
1518,"Have a Dual Slalom Course, Pump Track & Bike Skills Course co-located by the Low Hollow Mountain Bike Trail at Weldon Peete Park."
1516,Build a homeless park w/tiny homes so they can live & not suffer. There should also be a main house to can receive/organize donations
1506,I believe BGISD and WCS should be combined to lower tax payer overheads of multi-administration wastages
1426,Government should ignore criminal malfeasance/embezzlement of public funds by anyone if little or no funds can be recovered.
1516,A fine if your cat or dog is picked up as a stray and is not spayed or neutered in the county.
1385,"BG needs to develop a marketing campaign to draw Warren Co and surrounding counties to downtown for eating, shopping, and entertainment."
1385,BG needs to redevelop from WKU to the river and beyond. Model after Greenville SC
1385,Bowling Green Government needs more perspective from Millennials. We need ideas for the future not outdated Boomer development ideas.
0,WRECC should provide internet services.
1505,"BGMU needs to be held accountable for their rates and ""averages."""
1505,There needs to be a stoplight at the intersection of Shive Lane and Ken Bale Blvd to improve traffic flow. The backups there are awful.
1488,"24hr parks would be a huge, and relatively inexpensive, benefit for the many people in our community who work 2nd and 3rd shifts."
1502,Bowling Green needs to pass a resolution in support of medical cannabis.
0,A kayak trail from Lampkin Park to Barren River. Improved River access.
1432,"How is it that surrounding counties have county wide high speed internet, yet one third of Warren County residents have slow or no internet?"
1348,Greek Life should be monitored on WKU's campus.
1348,There should be more healthy food options near/on campus of WKU.
1353,Bowling Green should have basic zoning mandates in order to beautify decrepit buildings/gravel lawns/general trashiness.
1349,Bowling Green needs more accessible programs for mentorships of young adults and teenagers.
1353,Bowling Green should have more healthy/clean eating options for those who have limited diets.
1335,Holly drive needs sidewalks
1338,stronger enforcement of junk cars in yards and trashy looking yards in general
0,The face of drug dealers has changed. Today most opioid drug dealers are doctors or teenagers in the suburbs ordering from China.
0,We know fentanyl is coming through our post office. Law enforcement should have dogs finding it before it kills the next youth.
1318,Working folks need ordinances struck down that prevent them from assembling to bargain for better pay. benefits and working conditions.
0,Doctors over-prescribing opioids should be sentenced at least as harshly as street dealers if not more harshly due to their knowledge.
1298,State and federal medical societies are unable or unwilling to police their members regarding the drug dependency problem.
1298,Doctors who prescribe pain and tranquilizing meds too easily fuel the drug dependency crisis.
1298,American comfort and avoidance of any pain or suffering drives the drug dependency problem.
1298,Individual unhappiness combined with easy legal and illegal availability of drugs drives the opioid crisis.
1314,We need more pet stores
1307,BG needs to increase recycling and trash bins around the parks and parkways to decrease trash and litter
301,There is too much bullying in our schools that administrators are ignoring.
1296,Bowling Green should be become a carbon neutral city.
301,The Bowling Green Daily News is too politically slanted.
1282,"More weekend activites are needed for YOUNG Seniors, who arent yet ready for Bingo nights."
1290,There should be officers more readily available to the county areas; ex. for domestic violence disputes.
1296,"Bowling Green needs more access to affordable , healthy, local food sources."
1287,"More gender-neutral bathrooms need to be seen across BG on WKU's campus, in local businesses, etc."
1291,There should be gender-neutral housing options on WKU's campus for LGBTQ+ students.
1288,"WKU should open its facilities to the public once or twice a month to the community, and those in need should be welcome more often."
1294,Bowling Green should work on becoming a more food sustainable city with less food waste and food insecurity
1158,"A traffic light is needed on Cave Mill in front of Natcher School.  Operational on school days, 7:30 to 9 AM & 3 to 4:30 PM."
1282,"For a city of this size, there is too little available in the way of weekend activities for Seniors who are not ready for rocking chairs."
981,Encourage growth of OTA tv stations. Lots of cord cutters and shavers enjoy the HD content they can get with an antenna.
1276,Historic preservation of homes and buildings needs countywide attention to maintain our unique architectural heritage.
1275,More citizens need to be involved in the future development of BG. Too many developers who benefit financially are calling the shots.
1269,"Do SOMETHING about completing the ""wrap"" downtown, or at least enhance (and that includes restaurant service) what is currently there."
1265,"Planning & Zoning Board needs an overhaul. Fewer builders appointed, fairness to opposition, stop rubber stamping by P&Z and City Comm."
278,We need grocery store competition. Kroger doesn't even try because they don't have to. I'm sick of rotten produce. Let's get a Publix!
0,Commitment to healthy lifestyles
0,More roundabouts for intersections
1261,Need a better way to work with tenants in the downtown district. Too many come and go because they lack business skills.
0,More healthy restaurants
1261,"Need engaging art installations throughout the city. People will be able to experience art, have fun, and share on social media."
1261,"The downtown parking garage has been an eyesore for years. It's embarrassing, so fix it!"
1261,"Traffic congestion is a major problem, so studying traffic flow closely is the first step."
1259,Concerts and performing arts activities must reflect the diverse racial/ethnic demographic of the city/county.
1259,City/county gov't. (in all of there forms) must reflect the racial/ethnic city/county population demographic to assist in recruitment/growth
1251,Mesonet provides valuable and protective weather information and funding for it should not be cut.
1257,"Fountain Square is experiencing an increase in aggressive panhandling, BGPD needs to establish their presence for citizen's safety."
1253,"City/county leaders should be cautious of ""build it and they will come"" mentality for growth and development."
1222,"Future charter schools would be a financial burden to public school funding, unless they are held to accountability by local school boards."
